"Cursus","","Discipline","","Type de discipline","","Sous-type","","UE","","Année par défaut dans le cursus"
"","","AFD001 - AFCMD Danse","","","","","","ECR04063 UE4 S3-4 - Dossier d'écriture : établissement d'une partition d'un duo ou d'un groupe","",""
"","","AL042 - Allemand","","","","","","ECR04063 UE5 S1-2 - Lecture et interprétation d'une oeuvre d'un solo","",""
"","","AL045 - Alto","","","","","","ECR04063 UE5 S3-4 - Lecture et transmission d'une oeuvre d'après partition d'une duo ou d'un groupe","",""
"","","AL048 - Alto baroque (Initiation)","","","","","","ECR04063 UE6 S1-2 - Culture chorégraphique, histoire de ssystèmes d'écritures du mouvement","",""
"","","ALTOBAR2 - Alto baroque","","","","","","ECR04064-UE1 S-3-4 - Projet personnel Majeur","",""
"","","AMR001 - Approches méthodologiques de recherche Danse","","","","","","ECR04064-UE1 S1-2 - Cinétographie-L2.1","",""
"","","AN060 - Analyse FSMSI","","","","","","ECR04064-UE2 S-3-4 - Projet personnel Mineur","",""
"","","AN064 - Analyse compositeurs-chefs d'orchestre-métiers du son","","","","","","ECR04064-UE2 S1-2 - Séminaire Transmission","",""
"","","AN069 - Analyse et culture musicale chanteurs·euses","","","","","","ECR04064-UE3 S-3-4 - Méthodologie de la recherche pour les projets personnels","",""
"","","AN070 - Analyse et culture musicale chanteurs·euses (option)","","","","","","ECR0464 UE3 S1-2 - Séminaire Enseignement","",""
"","","AN072 - Anatomie - Physiologie","","","","","","FAG01063-UE1 - Pratique artistique","",""
"","","AN075 - Anglais","","","","","","FAG01063-UE2 - Recherche et culture","",""
"","","AN078 - Anglais : métiers de l'audiovisuel - Part 1","","","","","","FAG01063-UE3 - Professionnalisation","",""
"","","AR081 - Arrangement (Chanson ou Jazz) FSMSI","","","","","","FAG01064-UE1 - Pratique artistique","",""
"","","AR084 - Art dramatique (DCO)","","","","","","FAG01064-UE2 - Recherche et culture","",""
"","","ARTINTST - Artiste interprète en studio","","","","","","FAG01064-UE3 - Professionnalisation","",""
"","","AT003 - Accords et temperaments","","","","","","FLU01063-UE1 - Pratique artistique","",""
"","","AT086 - Atelier 1er cycle","","","","","","FLU01063-UE2 - Recherche et culture","",""
"","","AT087 - Improvisation / interprétation / composition","","","","","","FLU01063-UE3 - Professionnalisation","",""
"","","BA096 - Basse continue (Clavecinistes)","","","","","","FLU01064-UE1 - Pratique artistique","",""
"","","BA097 - Basse continue (Harpe)","","","","","","FLU01064-UE2 - Recherche et culture","",""
"","","BA099 - Basse continue (Initiation)","","","","","","FLU01064-UE3 - Professionnalisation","",""
"","","BA102 - Basse continue organistes (imposée)","","","","","","FLU02063-UE1 - Pratique artistique","",""
"","","BA105 - Basson français","","","","","","FLU02063-UE2 - Recherche et culture","",""
"","","BA114 - Basson baroque (Initiation)","","","","","","FLU02063-UE3 - Professionnalisation","",""
"","","BA117 - Batterie Jazz","","","","","","FLU02064-UE1 - Pratique artistique","",""
"","","BCO0002 - Basse continue organistes","","","","","","FLU02064-UE2 - Recherche et culture","",""
